"outcome","y_es","ymin_es","ymax_es","y_tau2_inter","ymin_tau2_inter","ymax_tau2_inter","y_tau2_intra","ymin_tau2_intra","ymax_tau2_intra"
"A/FF","-0.38","-0.74","-0.02","0.06","0.00","0.38","0.01","0.00","0.14"
"AGT/MC task-related","0.36","-0.20","0.90","0.02","0.00","0.52","0.02","0.00","0.28"
"BPNF","0.01","-0.59","0.55","0.03","0.00","0.58","0.01","0.00","0.20"
"BPNS","0.24","-0.47","0.84","0.06","0.00","0.98","0.02","0.00","0.26"
"CAIR","0.16","-0.15","0.48","0.13","0.00","0.45","0.05","0.00","0.13"
"CCK","0.19","-0.04","0.43","0.01","0.00","0.14","0.00","0.00","0.05"
"Cognitive skills (PYD)","0.14","-0.34","0.60","0.03","0.00","0.56"," NA"," NA"," NA"
"Fun and enjoyment","0.14","-0.10","0.35","0.01","0.00","0.11","0.02","0.00","0.12"
"GC/TA","0.40","0.16","0.66","0.01","0.00","0.12","0.01","0.00","0.07"
"Goal setting (PYD)","1.00","-0.29","1.72","0.07","0.00","2.89"," NA"," NA"," NA"
"Initiative (PYD)","0.28","-0.76","1.23","0.46","0.03","3.61"," NA"," NA"," NA"
"INSB","0.15","-0.37","0.50","0.02","0.00","0.47","0.01","0.00","0.08"
"INTB","-0.12","-0.46","0.28","0.02","0.00","0.31","0.01","0.00","0.11"
"ITC","0.20","-0.13","0.48","0.03","0.00","0.26"," NA"," NA"," NA"
"MR (amotivation)","-0.15","-0.46","0.16","0.03","0.00","0.26"," NA"," NA"," NA"
"MR (controlled)","0.01","-0.32","0.34","0.05","0.00","0.32","0.02","0.00","0.16"
"MR (self-determined)","-0.00","-0.36","0.40","0.09","0.00","0.46","0.01","0.00","0.10"
"MR (tot)","0.29","-0.46","1.07","0.12","0.00","1.28","0.09","0.00","0.96"
"Negative experiences (PYD)","0.05","-0.69","0.83","0.17","0.00","1.68"," NA"," NA"," NA"
"Parentsupp","0.58","-0.58","1.54","0.23","0.00","2.75","0.09","0.00","1.32"
"Personal and social skills (PYD)","0.12","-0.72","1.03","0.23","0.00","2.34"," NA"," NA"," NA"
"PSC","-0.07","-0.62","0.49","0.05","0.00","0.64","0.04","0.00","0.45"
"SE","0.21","-0.03","0.49","0.01","0.00","0.16"," NA"," NA"," NA"
"SP","0.62","-0.01","1.15","0.02","0.00","0.59","0.03","0.00","0.37"
